model,mae,rmse,r2
random_forest,0.08085515320764022,0.2093840697776981,0.9453929468673391
linear_regression_scaled,0.08902328204312136,0.22077912628199878,0.9392875879504414
baseline_persistence,0.0719155385951728,0.2215135779429908,0.9388829799558955
baseline_mean,0.7263420337757702,0.9009362113036126,-0.010996267951310701
