horizon_minutes,best_by,model,mae,rmse,r2
1,mae,baseline_persistence,0.0719155385951728,0.2215135779429908,0.9388829799558956
1,rmse,random_forest,0.0808551532076402,0.2093840697776981,0.9453929468673392
15,mae,random_forest,0.3365586524455166,0.5624738588240282,0.6059382230852819
15,rmse,random_forest,0.3365586524455166,0.5624738588240282,0.6059382230852819
60,mae,random_forest,0.502209073814607,0.7326503927251177,0.3314269121078896
60,rmse,random_forest,0.502209073814607,0.7326503927251177,0.3314269121078896
